movie_id,movie,region,language,release_year,duration_in_min,genres,numvotes,primaryname,role,birthyear,deathyear,primaryprofession,rating
10000,Amor gitano,ES,,1910,,,8,Segundo de Chomón,director,1871,1929,"director,cinematographer,writer",5.6
10001,As in a Looking Glass,US,,1911,,Drama,28,Wilfred Lucas,actor,1871,1940,"actor,director,writer",5.1
10002,The Infant at Snakeville,US,,1911,,,5,Gilbert M. Broncho Billy Anderson,actor,1880,1971,"director,actor,producer",5.2
10003,Who Will Marry Mary?,US,,1913,,"Action,Adventure",14,Mary Fuller,actress,1888,1973,"actress,writer",5.6
10004,The Active Life of Dolly of the Dailies,US,,1914,,Drama,43,Mary Fuller,actress,1888,1973,"actress,writer",6.2
10005,The Good-for-Nothing,US,,1914,,"Comedy,Drama,Western",18,Gilbert M. Broncho Billy Anderson,actor,1880,1971,"director,actor,producer",4
10006,Sonata,GB,,1915,50,"Drama,Romance",8,Nance ONeil,actress,1874,1965,actress,6.5
10007,Peer Gynt,US,,1915,50,Fantasy,9,Cyril Maude,actor,1862,1951,actor,7.3
10008,Princess Romanoff,US,,1915,,"Adventure,Drama,Romance",9,Nance ONeil,actress,1874,1965,actress,5.3
10009,Wildfire,US,,1915,,Drama,14,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",7.6
10010,Peaces Road,XWW,en,1917,,War,11,Michael Curtiz,director,1886,1962,"director,actor,writer",4.5
10011,The Hand That Rocks the Cradle,GB,,1917,60,Drama,16,Phillips Smalley,actor,1875,1939,"director,actor,producer",6.8
10012,Single-Shot Parker,US,,1917,56,Western,71,Tom Mix,actor,1880,1940,"actor,director,writer",5.5
10013,Ossis Diary,US,,1917,,Comedy,6,Ossi Oswalda,actress,1897,1947,"actress,producer,writer",6.7
10014,Le mystérieux héritage dArabella Flynn,FR,,1918,60,Comedy,9,Mabel Normand,actress,1892,1930,"actress,director,writer",6.9
10015,Joan of Plattsburg,US,,1918,60,"Comedy,Drama",15,Mabel Normand,actress,1892,1930,"actress,director,writer",5.9
10016,Over the Top,US,,1918,,"Drama,War",9,Arthur Guy Empey,actor,1883,1963,"writer,actor,producer",6.7
10017,Shootin Mad,US,,1918,,Western,10,Gilbert M. Broncho Billy Anderson,actor,1880,1971,"director,actor,producer",6.7
10018,Je ne voudrais pas être un homme,FR,,1918,45,"Comedy,Romance",1208,Ossi Oswalda,actress,1897,1947,"actress,producer,writer",6.9
